species	count
102492	92
100076	80
100022	78
103694	75
102272	68
102545	68
101300	61
101346	59
101302	56
102438	54
102478	48
103899	45
100074	44
104158	42
102528	42
100217	38
102321	36
100099	36
100254	34
103681	32
100562	29
101345	28
103686	28
102274	28
102506	28
100044	28
102327	28
100078	27
103937	27
100251	26
100209	25
100196	25
100144	24
103702	24
102040	24
102454	23
101378	23
103439	23
100233	22
100003	22
103166	22
101410	21
102530	20
101294	20
101374	19
102292	19
101337	18
102057	18
102549	18
101380	17
101830	17
100205	17
102993	17
101292	16
102293	15
103022	15
101349	15
100243	15
100242	15
104323	15
103695	15
101359	14
101361	14
100028	14
101493	14
100250	13
100271	13
100208	13
100404	13
100190	13
100154	13
103987	13
100041	13
104431	12
100362	12
100723	12
102616	12
102715	12
104129	12
101367	12
103656	12
100087	11
100069	11
100651	11
104317	11
102395	11
101310	11
102926	11
102580	11
102517	11
103126	10
101136	10
102445	10
102279	10
101500	10
104644	10
100038	10
100214	10
100016	10
100212	9
100231	9
103684	9
103682	9
102540	9
102060	9
103891	9
101338	9
100262	9
101313	9
102455	8
101737	8
102570	8
101060	8
101057	8
101021	8
102720	8
100148	8
102340	8
101429	8
102281	8
100036	8
104196	8
100530	8
104099	7
100989	7
100249	7
100146	7
101456	7
102483	7
100179	7
102538	7
100032	7
101391	7
102609	7
102625	7
101565	7
102295	7
102882	7
100933	7
100169	7
101848	7
100070	7
103949	6
102191	6
104593	6
102155	6
101440	6
103683	6
104526	6
102396	6
100646	6
101246	6
100236	6
100784	6
100029	6
100183	6
100902	6
100204	6
103217	6
101704	6
100429	6
101444	5
101385	5
100195	5
102135	5
102072	5
102152	5
101400	5
101531	5
101866	5
102514	5
101439	5
100033	5
100159	5
102330	5
102351	5
100142	5
104533	5
104498	5
100139	5
100045	5
104250	5
103852	5
101029	5
100909	5
100278	5
104390	4
101489	4
104006	4
100039	4
100177	4
103237	4
101756	4
100185	4
102284	4
102990	4
102969	4
102711	4
100136	4
102512	4
100140	4
102447	4
100084	4
100289	4
100730	4
100282	4
100244	4
100575	4
101319	4
101315	4
101157	4
101396	4
101295	4
101354	4
101306	4
101402	4
103306	3
103691	3
100872	3
100141	3
103958	3
102378	3
103074	3
102453	3
102160	3
102163	3
100653	3
100672	3
100086	3
102552	3
101321	3
100150	3
100170	3
103230	3
100259	3
101356	3
100743	3
100072	3
102424	3
103374	3
100253	3
103326	3
101304	3
103990	3
103190	3
100080	3
101386	3
101415	3
100133	3
101490	3
100194	3
100344	3
101398	3
101151	3
104451	3
100280	3
104388	3
101695	3
102511	3
104275	3
100409	3
100138	3
102710	3
102779	3
100199	3
101820	3
102469	3
101072	3
100203	3
104117	3
103069	2
101112	2
100980	2
100108	2
102681	2
100089	2
102831	2
102633	2
102602	2
100107	2
102612	2
101076	2
100701	2
100839	2
103279	2
104643	2
104639	2
104557	2
100369	2
100370	2
104351	2
100018	2
104262	2
104253	2
104245	2
104221	2
100418	2
104165	2
104145	2
104114	2
104081	2
104070	2
104055	2
103973	2
103972	2
100272	2
103921	2
103835	2
100062	2
100265	2
100077	2
103318	2
102563	2
101687	2
102393	2
102459	2
101714	2
102143	2
101770	2
102387	2
102371	2
101379	2
100151	2
101831	2
102298	2
101985	2
100153	2
100247	2
102285	2
102267	2
102021	2
102218	2
100215	2
102194	2
101326	2
101248	2
102101	2
101244	2
101413	2
101132	2
101399	2
100013	2
100128	2
104083	1
101556	1
100193	1
100457	1
101494	1
100303	1
104088	1
104086	1
104600	1
104341	1
102007	1
102016	1
100451	1
100484	1
103992	1
104637	1
100561	1
100240	1
102082	1
101937	1
101887	1
104339	1
101729	1
104345	1
104337	1
101389	1
100027	1
104289	1
101705	1
101689	1
101711	1
104256	1
101673	1
100431	1
104392	1
104404	1
104236	1
101627	1
104207	1
101609	1
104474	1
101559	1
101375	1
102544	1
103815	1
103940	1
101211	1
100884	1
102955	1
100105	1
100968	1
102794	1
102784	1
102781	1
102463	1
102777	1
100106	1
101065	1
102485	1
101255	1
101168	1
102499	1
102617	1
102504	1
102510	1
101420	1
101160	1
102519	1
100263	1
102556	1
100113	1
101247	1
102444	1
101334	1
100782	1
101327	1
103875	1
100690	1
100117	1
103813	1
100700	1
103697	1
102224	1
100052	1
102270	1
101314	1
103508	1
102394	1
103456	1
100296	1
103411	1
102297	1
103331	1
102316	1
101303	1
100810	1
102369	1
103186	1
100870	1
101421	1
