mgen_id	mgen_group
SS01000	core
SS01001	core
SS01004	core
SS01005	core
SS01002	core
SS01007	core
SS01006	core
SS01009	core
SS01008	core
SS01011	core
SS01013	core
SS01012	core
SS01015	core
SS01016	core
SS01019	core
SS01017	core
SS01018	core
SS01022	core
SS01023	core
SS01027	core
SS01026	core
SS01030	core
SS01033	core
SS01036	core
SS01037	core
SS01038	core
SS01042	core
SS01048	core
SS01047	core
SS01052	core
SS01055	core
SS01059	core
SS01057	core
SS01056	core
SS01083	core
SS01053	core
SS01054	core
SS01060	core
SS01063	core
SS01066	core
SS01068	core
SS01069	core
SS01073	core
SS01072	core
SS01075	core
SS01076	core
SS01078	core
SS01088	core
SS01080	core
SS01081	core
SS01084	core
SS01094	core
SS01087	core
SS01090	core
SS01091	core
SS01097	core
SS01086	core
SS01092	core
SS01098	core
SS01100	core
SS01103	core
DS0097_007	core
DS0097_008	core
DS0097_001	core
DS0097_009	core
DS0097_010	core
DS0097_002	core
DS0097_003	core
DS0097_011	core
DS0097_012	core
DS0097_004	core
DS0097_014	core
DS0097_005	core
DS0097_013	core
DS0097_006	core
DS0097_015	core
DS0097_016	core
DS0097_017	core
DS0485_002	core
DS0097_028	core
DS0097_029	core
DS0097_030	core
DS0097_022	core
DS0097_031	core
DS0097_023	core
DS0097_032	core
DS0097_024	core
DS0097_034	core
DS0097_025	core
DS0097_035	core
DS0097_026	core
DS0097_027	core
DS0097_036	core
SS01108	core
SS01105	core
SS01117	core
SS01120	core
SS01123	core
SS01125	core
SS01126	core
SS01127	core
SS01128	core
SS01130	core
SS01131	core
SS01133	core
SS01134	core
SS01135	core
SS01137	core
SS01138	core
SS01136	core
SS01139	core
SS01141	core
SS01140	core
SS01142	core
SS01149	core
SS01145	core
SS01146	core
SS01151	core
SS01147	core
SS01150	core
SS01154	core
SS01155	core
SS01148	core
SS01156	core
SS01160	core
SS01157	core
SS01158	core
SS01153	core
SS01162	core
SS01161	core
SS01164	core
SS01163	core
SS01169	core
SS01165	core
SS01168	core
SS01167	core
SS01166	core
SS01170	core
SS01171	core
DS0044_002	core
DS0044_003	core
DS0044_004	core
DS0044_005	core
DS0044_006	core
DS0044_007	core
DS0044_008	core
DS0044_009	core
DS0044_010	core
DS0044_011	core
SS01172	core
SS01185	core
SS01008b	core
SS01013b	core
SS01020b	core
SS01032b	core
SS01034b	core
SS01039b	core
SS01043b	core
SS01046b	core
SS01062b	core
SS01093b	core
SS01117b	core
SS01120b	core
SS01126b	core
SS01117	test
SS01120	test
SS01008	test
